article_id,title,authors,keywords,doi,date,conference,firstpage,lastpage,issn,publisher,article_url,pdf_url,local_pdf,review_resumo,review_objetivo,review_metodologia,review_experimentos,review_resultados,review_limitacoes,review_contribuicoes,review_proximos_passos,review_qualidade
35118,Um Método de Anonimização com Preservação de Prefixo baseado em Cifra de Feistel Desbalanceada e Heterogênea,Caroline Campos Carvalho; Ligia F. Borges; Anderson B. de Neira; Daniel M. Batista; Michele Lima,,10.5753/sbrc.2025.5741,2025/05/19,Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC),1,14,2177-9384,SBC,https://sol.sbc.org.br/index.php/sbrc/article/view/35118,https://sol.sbc.org.br/index.php/sbrc/article/download/35118/34909,/home/cayo/repos/agente_pesquisador/docs/artigos/sbrc_35118.pdf,"PROTECT: anonimização prefix-preserving de IPv4 via cifra Feistel desbalanceada (por classes IP: rede/host) e heterogênea (F/F' alternadas), com chaves por rotações e efeito avalanche, resistente a ataques semânticos, lineares e diferenciais.","Equilibrar privacidade e utilidade em anonimização prefix-preserving de IPv4, superando vulnerabilidades de métodos prévios como Crypto-PAn e Feistel padrão contra inferência trivial.","Classificação IP (A/B/C: 8/16/24 bits rede); conversão binária; divisão desbalanceada; N rodadas Feistel heterogênea (Li+1=Ri, Ri+1=Li ⊕ F(Ki,Ri) ou F'(Ki,Ri)); chaves por rotações binárias ASCII; permutação/substituição em F/F'.","Datasets: CTU-13 (captura 52), IoT-23 (captura 24). Avaliações: (1) avalanche via substituição/permutação; (2) entropia original vs. anonimizado; (3) vazamento vs. baseline Feistel [Dandyan 2022], conhecimento atacante 10-50%.",Efeito avalanche efetivo; entropia elevada pós-anonimização; supera baseline em 20% na métrica de vazamento com 20% conhecimento atacante.,Limitado a IPv4; datasets específicos (IoT/CTU-13); ausência de análise formal de segurança diferencial; sem comparação com PD-PAn ou multi-visões; performance não quantificada.,"Cifra Feistel desbalanceada/heterogênea para PPAN, eliminando multi-visões; maior resistência a ataques lineares/diferenciais via divisão adaptativa e F/F'; preservação prefixo com avalanche.",Extensão IPv6; avaliação em datasets maiores/diversos; provas formais de segurança; benchmarks de performance/paralelismo; testes contra ataques avançados.,4
35119,Optimizing Intelligent Camera Surveillance in Smart Buildings: An SPN-based Edge-Fog Analysis,José Miqueias Araújo; Lucas Silva Lopes; Luiz Nelson Lima; Vandirleya Barbosa; Arthur Sabino; Leonel Feitosa; Flávia C. Delicato; Tuan Anh Nguyen; Francisco Airton Silva,,10.5753/sbrc.2025.5744,2025/05/19,Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC),15,28,2177-9384,SBC,https://sol.sbc.org.br/index.php/sbrc/article/view/35119,https://sol.sbc.org.br/index.php/sbrc/article/download/35119/34910,/home/cayo/repos/agente_pesquisador/docs/artigos/sbrc_35119.pdf,"```json
{
  ""review_resumo"": ""Modela infraestrutura de vigilância de câmeras em edifícios inteligentes via Edge-Fog usando Redes de Petri Estocásticas (SPN), avaliando MRT, throughput, utilização e probabilidade de drop sob variações de recursos."",
  ""review_objetivo"": ""Otimizar desempenho em tempo real de processamento de vídeo em Edge-Fog, analisando impacto de núcleos Fog, taxas de chegada e capacidades de fila para reduzir latência e drops."",
  ""review_metodologia"": ""SPN com 5 camadas (câmeras, Edge, transmissão, Fog, saída); transições exponenciais/gerais para chegada, fila, processamento paralelo (CoreE/CoreF); métricas via Little’s Law (MRT), ρ (utilização), p_full (DP), TP ≈ λ estável."",
  ""review_experimentos"": ""Validação SPN vs. experimentos em 3 máquinas físicas; estudos variando núcleos Fog (1-10), λ (até 47.37 msg/ms), capacidades (CapR/E/F/G/O); análise de bottlenecks e escalabilidade."",
  ""review_resultados"": ""10 núcleos Fog: DP ~35% em λ=47.37 msg/ms; MRT <10 ms até λ~29 msg/ms; TP escalável com recursos; utilização ρ otimizada via paralelismo."",
  ""review_limitacoes"": ""Câmeras agregadas como fonte única; nós Fog idênticos sem balanceamento complexo; ignora congestão de rede, falhas de hardware e variações de serviço não-exponenciais."",
  ""review_contribuicoes"": ""Formulação SPN para Edge-Fog em vigilância; análise holística de métricas com validação experimental; blueprint para provisionamento de recursos e gap em sizing Edge-Fog."",
  ""review_proximos_passos"": ""Integrar balanceamento de carga dinâmico; considerar falhas de rede/hardware; estender a ML para detecção/anomalias; validar em cenários multi-edifício reais."",
  ""review_qualidade"": 5
}
```",,,,,,,,
35120,Abordagem Cross-layer para Detecção de Itrusão Integrando eBPF e Machine Learning,Daniel Arioza; Jeferson Campos Nobre; Lisandro Zambenedetti Granville,,10.5753/sbrc.2025.5776,2025/05/19,Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC),29,42,2177-9384,SBC,https://sol.sbc.org.br/index.php/sbrc/article/view/35120,https://sol.sbc.org.br/index.php/sbrc/article/download/35120/34911,/home/cayo/repos/agente_pesquisador/docs/artigos/sbrc_35120.pdf,"```json
{
  ""review_resumo"": ""CrossLayerGuardian: IDS híbrido cross-layer para host único, integrando eBPF (XDP para rede, kprobes para syscalls) com ensemble ML (XGBoost+MLP) para detecção de ataques multi-vetor via correlação temporal e pré-filtragem in-kernel."",
  ""review_objetivo"": ""Abordar lacunas em IDS para ataques multi-vetor combinando visibilidade cross-layer (rede-sistema) com eficiência eBPF e precisão ML, minimizando overhead em cenários de alto throughput."",
  ""review_metodologia"": ""Coleta paralela via NetMonitor (XDP + rastreamento fluxo) e FileMonitor (agregação syscalls adaptativa); ring buffers lock-free para userspace; sincronização TSC; ensemble adaptativo com pré-filtragem kernel (hashing perfeito) e análise userspace."",
  ""review_experimentos"": ""Avaliação em AWS EC2 com testbed simulado, datasets CICIDS; cenários de throughput até 850 Mbps; métricas: detecção, FP, CPU, latência; comparações com baselines eBPF/ML state-of-the-art."",
  ""review_resultados"": ""Throughput 850 Mbps; overhead CPU <8%; detecção >95% (ataques rede/multi-vetor); FP <1.2%; superior a baselines em correlação cross-layer e escalabilidade."",
  ""review_limitacoes"": ""Dependente de eBPF (kernels Linux recentes); limitações in-kernel para ML complexo; avaliação em host único (não distribuída); requer tuning adaptativo por workload."",
  ""review_contribuicoes"": ""(1) Correlação cross-layer via eBPF com sincronização temporal; (2) Pré-filtragem otimizada kernel/userspace lock-free; (3) Ensemble adaptativo para multi-vetor; (4) Validação robusta com overhead mínimo."",
  ""review_proximos_passos"": ""Extensão a ambientes distribuídos/contêineres; suporte FP nativo eBPF para ML kernel; integração com orquestradores (Kubernetes); testes em produção real-scale."",
  ""review_qualidade"": 5
}
```",,,,,,,,
35121,Otimizando Energia no Aprendizado Federado em Redes de Baixa potência e com Alta Taxa de Perda de Pacotes,Johann J. Schmitz Bastos; João Pedro C. Batista; Ramon dos Reis Fontes; Eduardo Cerqueira; Rodolfo S. Villaça; Vinícius F. S. Mota,,10.5753/sbrc.2025.5786,2025/05/19,Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC),43,56,2177-9384,SBC,https://sol.sbc.org.br/index.php/sbrc/article/view/35121,https://sol.sbc.org.br/index.php/sbrc/article/download/35121/34912,/home/cayo/repos/agente_pesquisador/docs/artigos/sbrc_35121.pdf,"```json
{
  ""review_resumo"": ""Paper propõe otimização de seleção de clientes em Federated Learning (FL) sobre redes RPL em IoT, priorizando dispositivos com menor consumo energético para estender vida útil da rede sem degradar acurácia do modelo."",
  ""review_objetivo"": ""Implementar FL em emulação IoT-RPL com restrições energéticas; estender MininetFed com monitoramento energia (CPU/rede); algoritmo de seleção para minimizar consumo em nós centrais, mantendo desempenho FL."",
  ""review_metodologia"": ""Extensão MininetFed para IEEE 802.15.4/RPL (DODAG); modelos CCPU (uso CPU via cgroup, V×A×%uso/3600 Wh) e CNET (bytes TX/RX × custo/3600 Wh); algoritmo seleciona clientes por round com menor consumo total para treinamento local e transmissão."",
  ""review_experimentos"": ""Emulação MininetFed com topologia DODAG RPL (nó raiz como servidor FL, sensores pais/filhos); monitoramento energia durante rodadas FL; comparação com seleção randômica em cenários IoT típicos."",
  ""review_resultados"": ""Redução de ~6,5% no consumo energético de nós centrais (pais no DODAG); manutenção de acurácia FL comparável a baselines."",
  ""review_limitacoes"": ""Avaliação apenas em emulador (sem hardware real); foco exclusivo em nós centrais; não quantifica impacto de alta perda de pacotes; estágio inicial sem comparações extensas com SOTA energia-FL."",
  ""review_contribuicoes"": ""Primeira integração FL-RPL com seleção energia-focada; extensão MininetFed para RPL/energia IoT; modelos práticos de consumo CPU/rede para emulação heterogênea."",
  ""review_proximos_passos"": ""Testes em hardware real IoT; avaliação com alta perda pacotes e mobilidade; integração com SOTA (e.g., PSO, FedNorm); escalabilidade em redes maiores."",
  ""review_qualidade"": 4
}
```",,,,,,,,
35122,Uma Perspectiva Analítica para Avaliação de Desempenho no Aprendizado Federado,Francisco Airton Silva; Allan M. de Souza; Iago Almeida; Eduardo Cerqueira; Luiz Fernando Bittencourt; Denis Rosário,,10.5753/sbrc.2025.5813,2025/05/19,Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC),57,70,2177-9384,SBC,https://sol.sbc.org.br/index.php/sbrc/article/view/35122,https://sol.sbc.org.br/index.php/sbrc/article/download/35122/34913,/home/cayo/repos/agente_pesquisador/docs/artigos/sbrc_35122.pdf,"Proposta de modelo analítico baseado em Stochastic Petri Nets (SPN) para avaliação de desempenho em Federated Learning (FL), capturando heterogeneidade, assincronia e restrições sistêmicas como complemento a simuladores.","Desenvolver perspectiva analítica para prever métricas de FL (taxa e tempo médio de rodada) em cenários reais densos/dinâmicos, superando limitações computacionais e de modelagem de simuladores e Markov.","Modelagem SPN de protocolo FL genérico: lugares/transições para seleção, treinamento local, agregação semi-síncrona; incorpora eventos estocásticos (dropouts, atrasos, falhas, conectividade intermitente).","Validação via testbed real com Raspberry Pi; calibração com dados experimentais; estudos de sensibilidade a parâmetros (tamanho coorte, timeout agregação, probabilidade falha).","Previsões precisas de tempo médio por rodada e taxa de conclusão; insights para otimização em larga escala, destacando impactos de heterogeneidade e restrições de rede.","Foco em métricas sistêmicas (tempo/taxa rodada), não em precisão modelo; complexidade SPN pode limitar escalas extremas; calibração dependente de dados reais específicos.",Modelo SPN captura dependências complexas/paralelas ignoradas por Markov; validação empírica; baixo custo computacional vs. simuladores; tabela comparativa com 6 trabalhos prévios.,Extensão a domínios IoT/saúde; integração com otimizadores FL; análise de precisão modelo e cenários descentralizados.,4
35123,Tolerância a Falhas com Aprendizado por Reforço para Tomada de Decisão em Cenários Distribuídos,Vinícius Rodrigues Oliveira; Júnia Maísa Oliveira; Daniel Macedo; José Marcos Nogueira,,10.5753/sbrc.2025.5817,2025/05/19,Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC),71,83,2177-9384,SBC,https://sol.sbc.org.br/index.php/sbrc/article/view/35123,https://sol.sbc.org.br/index.php/sbrc/article/download/35123/34914,/home/cayo/repos/agente_pesquisador/docs/artigos/sbrc_35123.pdf,"Estudo impacto de latência e jitter em RL distribuído (agente-ambiente geograficamente separados), propondo estratégias de tolerância: repetição última ação ou ação aleatória. Avaliação em simulação Lunar Lander com latências reais brasileiras.","Analisar efeito de latência em convergência RL; avaliar estratégias mitigação falhas temporização; fornecer diretrizes para RL em cenários distribuídos brasileiros (drones, IoT, redes industriais).",Adaptação Stable Baselines3 com sockets para simular rede agente-ambiente. Fluxo RL padrão: estado-ação-recompensa. Estratégias: repetir última ação ou aleatória em timeout. Dados latência/jitter de Ceptro.br (regiões BR).,"Ambiente: Lunar Lander (OpenAI Gym). Latência: 0-100ms (normal); jitter: 20ms fixo. Regiões BR (CO, NE, N, SE, S). Métricas: tempo convergência, tolerância falhas, estratégias ação. Timeout: 60ms.","Estratégias mitigam atrasos, melhorando convergência vs. baseline. Análise regional destaca variações latência BR; reprodutibilidade via mods biblioteca. RL viável em redes reais BR com adaptações.",Foco latência/jitter; ignora perda/corrupção/reordenamento pacotes. Simulação Lunar Lander (não real). Ausência multiagentes ou cenários complexos.,"Estratégias práticas tolerância falhas RL distribuído. Análise desempenho redes BR reais. Mods Stable Baselines3 para reprodutibilidade. Diretrizes aplicações: drones, IoT, redes industriais.","Expandir métricas (perda, corrupção, reordenamento). Testes cenários reais/multiagentes. Aplicações drones/IoT BR. Integração MARL.",4
35124,Caracterização da Vulnerabilidade a Sequestros de Prefixo de Sistemas Autônomos Militares,Adriano B. Carvalho; Pedro de B. Marcos; Fabrício S. de Paula; Carlos Alberto da Silva; Ronaldo A. Ferreira,,10.5753/sbrc.2025.5826,2025/05/19,Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC),84,97,2177-9384,SBC,https://sol.sbc.org.br/index.php/sbrc/article/view/35124,https://sol.sbc.org.br/index.php/sbrc/article/download/35124/34915,/home/cayo/repos/agente_pesquisador/docs/artigos/sbrc_35124.pdf,"```json
{
  ""review_resumo"": ""Caracterização de vulnerabilidades a sequestros de prefixo BGP em 29 AS militares de 16 países G20, usando simulador e dados BGP públicos de 530 coletores (fev-abr 2024)."",
  ""review_objetivo"": ""Quantificar vulnerabilidade de AS militares a hijacks Tipo-0/Tipo-X, avaliar detecção por coletores públicos e ferramentas existentes, identificando fatores de resiliência."",
  ""review_metodologia"": ""Simulador BGP personalizado com grafos CAIDA (76k ASes), modelo Gao-Rexford para seleção/propagação de rotas; análise de RIBs RIPE RIS/Route Views (>735M rotas/dia); identificação de AS militares via consultas públicas/DNS/whois."",
  ""review_experimentos"": ""Simulações de contaminação em 3 cenários vítima; observabilidade por 811-815 vantage points; análise de resiliência por conectividade/vizinhança; impacto de AS path prepend; avaliação de detecção em hijacks realistas."",
  ""review_resultados"": ""Alta conectividade e vizinhos geograficamente distribuídos reduzem vulnerabilidade; até 77% hijacks Tipo-1 indetectáveis por melhores ferramentas; RPKI vulnerável a prepend legítimo; >10 hijacks/dia globalmente."",
  ""review_limitacoes"": ""Modelo BGP simplificado ignora políticas complexas/dinâmicas; dependência de dados públicos (cobertura ~51% RPKI); simulações sem impacto real; anonimização de ASes."",
  ""review_contribuicoes"": ""Simulador público para hijacks BGP; primeira caracterização de AS militares G20; padrões de vulnerabilidade/resiliência; avaliação de detecção; mitigações em 6 dimensões (gravidade, tendências, políticas)."",
  ""review_proximos_passos"": ""Adotar RPKI/ASPA/BGPSec em AS militares; aprimorar detecção de hijacks Tipo-1; integrar simulador com dados reais em tempo real; expandir para AS não-G20 e ataques combinados."",
  ""review_qualidade"": 5
}
```",,,,,,,,
35125,Algoritmo para Filtragem Adaptativa de Medições de Distância via Wi-Fi FTM,Marcos Stenner; Edelberto Franco Silva; Alex B. Vieira; Rodrigo Mendes Peixoto; Michael Zancanella; Emmanuel Okwu,,10.5753/sbrc.2025.5836,2025/05/19,Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC),98,111,2177-9384,SBC,https://sol.sbc.org.br/index.php/sbrc/article/view/35125,https://sol.sbc.org.br/index.php/sbrc/article/download/35125/34916,/home/cayo/repos/agente_pesquisador/docs/artigos/sbrc_35125.pdf,"```json
{
  ""review_resumo"": ""Proposta de filtro adaptativo assimétrico para medições de distância via Wi-Fi FTM, mitigando superestimação por multicaminhamento em ambientes internos/externos, com O(1) complexidade para ESP32/IoT."",
  ""review_objetivo"": ""Desenvolver algoritmo leve baseado em FTM puro para estimar distâncias precisas, explorando erros positivos sistemáticos e limites de velocidade, sem RSSI/CSI ou hardware extra."",
  ""review_metodologia"": ""Filtro assimétrico em sequências FTM: ∆MAX = vmax × ∆t para aumentos; ∆MIN = k × ∆MAX (k=20-50) para diminuições rápidas; pseudocódigo O(1) com operações aritméticas simples, autoadaptativo."",
  ""review_experimentos"": ""Validação em dataset Barral (2021) com ESP32-S2: cenário externo (LOS, 1-20m, 120s); interno (NLOS, sala 12x6m, 180s/ponto, 4 âncoras); comparação com FTM puro, RSSI, CSI."",
  ""review_resultados"": ""Redução de erro médio até 50%; >95% confiabilidade em medidas baixas; convergência rápida; superior a baselines em precisão interna/externa com baixa complexidade."",
  ""review_limitacoes"": ""Tempo de convergência inicial; atraso em mudanças bruscas; dependência de vmax calibrado; erros de hardware não mitigados; validação em dataset externo."",
  ""review_contribuicoes"": ""Algoritmo FTM puro leve para IoT/ESP32; mitigação NLOS sem calibração; análise comparativa (Tabela 1); viabilidade em cenários reais de baixo custo."",
  ""review_proximos_passos"": ""Integração multi-âncora para posicionamento 2D/3D; calibração adaptativa de k/vmax; testes em hardware móvel; hibridização com ML leve."",
  ""review_qualidade"": 4
}
```",,,,,,,,
35126,Comparative Analysis of Smart Contract Generation Using Large Language Models,Hiago Vinícius Benedito dos Santos; Raissa Rosa dos Santos Januario; Ravelly Carvalho Zanatta; Saulo Neves Matos; Jó Ueyama,,10.5753/sbrc.2025.5848,2025/05/19,Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC),112,125,2177-9384,SBC,https://sol.sbc.org.br/index.php/sbrc/article/view/35126,https://sol.sbc.org.br/index.php/sbrc/article/download/35126/34917,/home/cayo/repos/agente_pesquisador/docs/artigos/sbrc_35126.pdf,"```json
{
  ""review_resumo"": ""Análise comparativa de LLMs (ChatGPT, Gemini, LLaMA, Gemma) para geração de smart contracts Solidity no EVM, avaliando suscetibilidade a vulnerabilidades, taxa de compilação e custo de gas de deployment."",
  ""review_objetivo"": ""RQ1: Suscetibilidade a vulnerabilidades; RQ2: Custo de gas de deployment; RQ3: Efetividade em gerar contratos seguros e eficientes."",
  ""review_metodologia"": ""Prompts via CO-STAR framework; geração de 30 contratos Solidity a partir de descrições Jusbrasil; avaliação com Mythril/Slither (vulnerabilidades), Remix IDE (gas/compilação). Métrica: média de vulnerabilidades por contrato."",
  ""review_experimentos"": ""LLMs testados: ChatGPT, LLaMA3, Gemma (Groq API), Gemini (Google API). Amostra: 30 prompts. Análise: compilabilidade, vulnerabilidades (alta/média/baixa), gas médio de deployment."",
  ""review_resultados"": ""ChatGPT: maior taxa de compilação e amostra; mais vulnerabilidades detectadas. Expansão além de ChatGPT para múltiplos LLMs; análise inédita de gas e qualidade média."",
  ""review_limitacoes"": ""Amostra limitada (30 contratos); foco exclusivo em Solidity/EVM; ausência de avaliação runtime ou testes funcionais pós-geração."",
  ""review_contribuicoes"": ""Primeira avaliação sistemática de múltiplos LLMs com CO-STAR, ferramentas duplas de vulnerabilidade e custos de gas; tabela comparativa com 7 trabalhos prévios destacando novidades."",
  ""review_proximos_passos"": ""Expandir amostra/prompts; incluir LLMs mais recentes; avaliar execução runtime, otimização de prompts e cenários multi-chain."",
  ""review_qualidade"": 4
}
```",,,,,,,,
35127,Fine-Tuning Eficiente de Modelos de Linguagem Para Detectar Anomalias em Logs Privados usando Aprendizado Federado,Gabriel U. Talasso; Allan M. de Souza; Daniel Guidoni; Eduardo Cerqueira; Leandro A. Villas,,10.5753/sbrc.2025.5859,2025/05/19,Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC),126,139,2177-9384,SBC,https://sol.sbc.org.br/index.php/sbrc/article/view/35127,https://sol.sbc.org.br/index.php/sbrc/article/download/35127/34918,/home/cayo/repos/agente_pesquisador/docs/artigos/sbrc_35127.pdf,"Proposta de fine-tuning eficiente de Small Language Models (SLMs) via Federated Learning (FL) para detecção não-supervisionada de anomalias em logs privados, usando PEFT para reduzir custos computacionais e de comunicação em cenários distribuídos (IoT, edge).","Melhorar detecção de anomalias em logs de sistemas distribuídos com recursos limitados, preservando privacidade via FL e otimizando eficiência em treinamento e comunicação.","Workflow FL: (1) Pré-processamento local de logs (janelas, remoção sensíveis via regex); (2) Distribuição de SLMs pré-treinados; (3) Fine-tuning paralelo com PEFT (atualização de poucos parâmetros); (4-5) Agregação de deltas de parâmetros no servidor. Detecção por erro de predição, sem parsers/templates ou rótulos.","Análises de desempenho (F1-score), custo computacional e comunicação em cenários distribuídos, variando tamanho/qualidade de SLMs. Código em GitHub. Comparação com baselines (LogBERT, LogFiT, LogLLM, FedLog).","F1-score >98%; redução de até 4000x no tamanho de mensagens transmitidas; superioridade em federado, não-supervisionado, sem parser, eficiente em parâmetros e pré-treinado.",Dependência de pré-processamento regex para anonimização; não aborda heterogeneidade extrema de dispositivos; foco em SLMs limita capacidade semântica vs. LLMs maiores.,(1) Fluxo FL+PEFT para fine-tuning eficiente de SLMs em anomalias de logs; (2) Preservação de privacidade com comunicação otimizada; (3) Análise extensiva de trade-offs desempenho/custo em distribuídos.,"Explorar heterogeneidade de clientes, integração com LLMs maiores via compressão avançada, testes em cenários reais IoT/veiculares.",5
